success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0        902       4459      2.555     19.696         20
      1          0               0       1057       6767      5.530     29.537         30
      1          0               0       1064       9290      8.738     39.647         40
      1          0               0        850       6475     10.473     49.334         50
      1          0               0        315       1042      0.357      9.898         10
      1          0               0        765       4351      2.182     19.689         20
      1          0               0       1247      11523      6.722     29.285         30
      1          0               0       1246      13932     10.513     39.392         40
      1          0               0       1409      19892     18.251     48.055         50
      1          0               0        493       1314      0.570      9.935         10
      1          0               0       1033       3463      2.925     19.890         20
      1          0               0        942       6217      4.960     29.646         30
      1          0               0       1001       9687      8.330     39.341         40
      1          0               0        858       9578     10.654     49.076         50
      1          0               0        881       3382      0.997      9.859         10
      1          0               0        847       5627      2.417     19.602         20
      1          0               0       1294      11936      6.792     29.630         30
      1          0               0       1261      12617     10.562     39.408         40
      1          0               0       1176      17108     14.662     48.827         50
      1          0               0        542       1185      0.606      9.956         10
      1          0               0        605       3342      1.704     19.808         20
      1          0               0       1153       8032      5.980     29.730         30
      1          0               0       1274       9548     10.609     38.530         40
      1          0               0       1236      11658     15.734     46.877         50
      1          0               0        971       2437      1.071      9.939         10
      1          0               0       1514       9429      4.168     19.890         20
      1          0               0       1238      11728      6.516     28.985         30
      1          0               0       1015       8552      8.357     38.874         40
      1          0               0       1260      11699     15.719     47.679         50
      1          0               0        710       1973      0.783      9.939         10
      1          0               0        943       5375      2.610     19.785         20
      1          0               0       1277       9208      6.523     29.700         30
      1          0               0       1627       8638     13.021     39.714         40
      1          0               0       1266      10631     15.089     49.486         50
      1          0               0        752       3817      0.843      9.797         10
      1          0               0        759       5284      2.117     19.755         20
      1          0               0        681       6188      3.648     28.683         30
      1          0               0        888       6916      7.369     38.644         40
      1          0               0        784       7652      9.797     47.662         50
      1          0               0        609       2085      0.681      9.819         10
      1          0               0        887       5747      2.477     19.752         20
      1          0               0        893       5608      4.592     29.563         30
      1          0               0       1068       7852      8.631     39.567         40
      1          0               0       1085      11223     13.973     47.392         50
      1          0               0        464       1852      0.516      9.909         10
      1          0               0        791       4427      2.200     19.824         20
      1          0               0        881       4550      4.507     29.695         30
      1          0               0       1050       7311      8.496     39.543         40
      1          0               0        797       9497      9.657     49.036         50
      1          0               0        612       2744      0.686      9.900         10
      1          0               0        898       5337      2.484     19.836         20
      1          0               0       1224       6424      6.224     29.797         30
      1          0               0       1154       9312      9.364     39.454         40
      1          0               0       1285       9252     15.256     49.498         50
      1          0               0        697       2070      0.772      9.928         10
      1          0               0        750       3178      2.089     19.793         20
      1          0               0        700       5015      3.609     29.627         30
