success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0        387       1694      0.460      9.837         10
      1          0               0        813       5296      2.379     19.803         20
      1          0               0        677       6170      3.684     29.393         30
      1          0               0        903       8819      8.028     38.311         40
      1          0               0       1235      15605     16.326     48.553         50
      1          0               0       1294      17175     23.535     58.277         60
      1          0               0       1165      16767     28.414     67.904         70
      1          0               0       1153      16713     35.110     78.245         80
      1          0               0        959      17323     37.309     86.332         90
      1          0               0       1269      17046     61.382     95.193        100
      1          0               0        712       2481      0.843      9.883         10
      1          0               0        676       3572      2.035     19.803         20
      1          0               0       1296       7811      7.475     29.581         30
      1          0               0       1210       6671     11.416     39.655         40
      1          0               0       1364      10697     17.689     49.648         50
      1          0               0       1412      14342     26.626     58.363         60
      1          0               0       1215      12503     29.695     68.421         70
      1          0               0       1165      21382     37.672     76.670         80
      1          0               0       1445      20236     58.885     86.576         90
      1          0               0       1334      19017     65.299     95.649        100
      1          0               0        147        698      0.177      9.932         10
      1          0               0       1006       3534      2.966     19.856         20
      1          0               0        886       7430      4.942     29.459         30
      1          0               0        739       6949      6.495     39.506         40
      1          0               0        933       8726     12.854     49.270         50
      1          0               0        854      11003     15.862     58.970         60
      1          0               0       1233      16572     30.663     69.057         70
      1          0               0        730      12993     23.571     75.640         80
      1          0               0        534      10668     23.060     83.599         90
      1          0               0        906      14580     49.500     90.701        100
      1          0               0        816       1894      1.008      9.955         10
      1          0               0        764       2909      2.388     19.776         20
      1          0               0        840       7578      4.769     29.521         30
      1          0               0        846       7023      7.567     39.612         40
      1          0               0       1479      16130     20.190     49.412         50
      1          0               0       1244      16710     24.050     59.436         60
      1          0               0       1245      12941     30.238     68.781         70
      1          0               0       1008       8624     32.099     78.437         80
      1          0               0        835      11781     34.029     86.023         90
      1          0               0       1229      18892     60.749     95.899        100
      1          0               0        483       1712      0.585      9.878         10
      1          0               0       1160       6302      3.487     19.826         20
      1          0               0        934       5716      5.183     29.656         30
      1          0               0        604       3889      5.434     39.583         40
      1          0               0        759       7053     10.216     49.372         50
      1          0               0       1548      13792     28.647     58.649         60
      1          0               0       1351      12910     33.447     67.473         70
      1          0               0        969      16668     32.201     76.195         80
      1          0               0       1539      27884     63.618     85.543         90
      1          0               0        910      16429     45.965     94.946        100
      1          0               0        334       1715      0.432      9.479         10
      1          0               0       1096       4796      3.363     19.821         20
      1          0               0        730       5698      4.271     29.464         30
      1          0               0        960       8588      9.203     39.357         40
      1          0               0       1162      13587     15.828     49.306         50
      1          0               0       1234      16055     23.294     58.199         60
      1          0               0       1065      14370     27.026     67.669         70
      1          0               0        536      11516     17.453     77.310         80
      1          0               0       1077      17682     44.718     86.604         90
      1          0               0       1112      18212     57.078     94.023        100
      1          0               0        202        795      0.247      9.856         10
      1          0               0        840       3235      2.532     19.812         20
      1          0               0       1094       6073      6.194     29.689         30
      1          0               0       1305       7402     11.708     39.659         40
      1          0               0       1257      10984     16.820     49.587         50
      1          0               0       1491      11998     27.483     59.200         60
      1          0               0       1093      13460     26.057     69.124         70
      1          0               0       1546      10930     46.460     79.331         80
      1          0               0       1766      22339     66.554     89.054         90
      1          0               0       1727      25271     82.913     97.740        100
      1          0               0        530       1767      0.625      9.900         10
      1          0               0        698       5257      2.160     19.706         20
      1          0               0       1035       9025      5.660     29.570         30
      1          0               0       1087      12470      9.655     39.318         40
      1          0               0        935      15675     12.471     49.009         50
      1          0               0        973      11325     17.891     59.055         60
      1          0               0       1030      14012     25.681     68.074         70
      1          0               0       1117      18073     34.899     76.946         80
      1          0               0       1563      30903     62.551     85.757         90
      1          0               0       1544      35600     74.887     95.452        100
      1          0               0        362       1961      0.431      9.909         10
      1          0               0        740       5909      2.214     19.692         20
      1          0               0        731       6028      4.047     29.410         30
      1          0               0        735       8581      6.478     39.024         40
      1          0               0        782       9850     10.450     48.801         50
      1          0               0        830      12270     15.576     58.631         60
      1          0               0        878      14894     21.745     68.656         70
      1          0               0       1087      14506     34.786     77.860         80
      1          0               0        953      15311     38.753     85.913         90
      1          0               0        943      18031     44.808     95.799        100
      1          0               0       1028       3748      1.217      9.865         10
      1          0               0        975       5151      2.911     19.823         20
      1          0               0       1366      13737      7.625     29.440         30
      1          0               0       1310      14062     11.413     39.131         40
      1          0               0       1455      19992     18.770     49.111         50
      1          0               0       1631      19399     30.345     58.358         60
      1          0               0       1611      23197     38.119     68.228         70
      1          0               0       1422      19395     42.545     77.821         80
      1          0               0       1403      29146     52.235     87.424         90
      1          0               0       1071      22059     51.031     94.658        100
      1          0               0        548       1681      0.630      9.927         10
      1          0               0        920       5060      2.631     19.770         20
      1          0               0        653       5247      3.515     29.378         30
      1          0               0        715       7000      6.063     39.329         40
      1          0               0        885       7680     11.291     48.453         50
      1          0               0        979       7582     17.406     58.205         60
      1          0               0       1078       8661     25.856     67.243         70
      1          0               0       1069      11689     32.517     76.663         80
      1          0               0       1362      19193     52.144     86.391         90
      1          0               0       1423      20740     67.742     96.027        100
      1          0               0        878       2762      1.028      9.937         10
      1          0               0       1131       6845      3.244     19.889         20
      1          0               0       1153      10405      6.201     29.493         30
      1          0               0       1386      19531     11.829     39.319         40
      1          0               0       1412      23490     17.852     49.246         50
      1          0               0       1218      19782     22.092     58.969         60
      1          0               0       1121      21167     27.157     67.905         70
      1          0               0       1160      21693     36.343     77.844         80
      1          0               0       1191      30667     48.806     86.498         90
      1          0               0       1393      22853     68.559     96.993        100
      1          0               0        568       1537      0.702      9.935         10
      1          0               0       1082       3975      3.273     19.838         20
      1          0               0        530       4470      3.024     29.236         30
      1          0               0       1135       8714      9.830     39.401         40
      1          0               0        856      10423     11.462     49.132         50
      1          0               0       1112      11965     20.049     59.316         60
      1          0               0        826      11653     19.453     69.092         70
      1          0               0       1262      19072     37.596     78.976         80
      1          0               0       1247      22084     46.656     88.805         90
      1          0               0       1228      22109     55.949     97.938        100
      1          0               0        659       1429      0.755      9.917         10
      1          0               0        452       2998      1.354     19.243         20
      1          0               0        702       3898      3.917     29.214         30
      1          0               0        931       7730      8.100     38.982         40
      1          0               0       1127       8282     14.681     49.021         50
      1          0               0        792      10187     14.687     57.760         60
      1          0               0        835       8623     19.711     68.115         70
      1          0               0        582       8733     18.001     76.447         80
      1          0               0        826      11393     31.707     86.557         90
      1          0               0       1067      13747     51.132     96.151        100
      1          0               0        506       1701      0.611      9.445         10
      1          0               0        902       4459      2.616     19.696         20
      1          0               0       1057       6767      5.678     29.537         30
      1          0               0       1064       9290      9.214     39.647         40
      1          0               0        850       6475     11.003     49.334         50
      1          0               0       1255      10865     22.898     58.507         60
      1          0               0        471       7375     11.424     67.535         70
      1          0               0        739       8877     23.246     76.945         80
      1          0               0        380      10475     15.875     85.461         90
      1          0               0        496      12272     23.579     94.869        100
      1          0               0        315       1042      0.365      9.898         10
      1          0               0        765       4351      2.226     19.689         20
      1          0               0       1247      11523      6.842     29.285         30
      1          0               0       1246      13932     10.751     39.392         40
      1          0               0       1409      19892     19.153     48.055         50
      1          0               0       1242      21023     22.863     57.095         60
      1          0               0       1425      19542     35.487     67.043         70
      1          0               0       1453      22733     45.921     75.337         80
      1          0               0       1423      26326     55.644     84.330         90
      1          0               0       1464      26491     71.025     93.344        100
      1          0               0        493       1314      0.564      9.935         10
      1          0               0       1033       3463      2.970     19.890         20
      1          0               0        942       6217      5.145     29.646         30
      1          0               0       1001       9687      8.566     39.341         40
      1          0               0        858       9578     11.212     49.076         50
      1          0               0        727      11720     13.218     58.466         60
      1          0               0       1087      21327     25.470     68.592         70
