success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         30        172      0.027         10
      1          0               0         30        336      0.053         20
      1          0               0         30        496      0.082         30
      1          0               0         30        647      0.112         40
      1          0               0         35        843      0.201         50
      1          0               0         44       1107      0.326         60
      1          0               0         44       1337      0.419         70
      1          0               0         53       1666      0.697         80
      1          0               0         53       1906      0.978         90
      1          0               0         54       2101      1.423        100
      1          0               0         41        202      0.038         10
      1          0               0         46        477      0.082         20
      1          0               0         45        775      0.165         30
      1          0               0         45        990      0.171         40
      1          0               0         46       1206      0.239         50
      1          0               0         45       1413      0.327         60
      1          0               0         45       1636      0.447         70
      1          0               0         44       1911      0.749         80
      1          0               0         44       2113      1.088         90
      1          0               0         46       2346      1.403        100
      1          0               0         37        203      0.033         10
      1          0               0         54        449      0.093         20
      1          0               0         54        693      0.147         30
      1          0               0         54       1007      0.212         40
      1          0               0         54       1306      0.282         50
      1          0               0         55       1583      0.441         60
      1          0               0         54       1884      0.528         70
      1          0               0         54       2142      0.697         80
      1          0               0         60       2468      1.003         90
      1          0               0         59       2754      1.598        100
      1          0               0         25        137      0.022         10
      1          0               0         35        354      0.060         20
      1          0               0         45        609      0.120         30
      1          0               0         44        876      0.164         40
      1          0               0         49       1094      0.232         50
      1          0               0         49       1368      0.316         60
      1          0               0         48       1676      0.435         70
      1          0               0         50       1935      0.657         80
      1          0               0         51       2211      0.979         90
      1          0               0         48       2527      1.489        100
      1          0               0         40        228      0.034         10
      1          0               0         40        452      0.069         20
      1          0               0         40        652      0.106         30
      1          0               0         46        912      0.193         40
      1          0               0         47       1230      0.313         50
      1          0               0         51       1530      0.467         60
      1          0               0         49       1730      0.642         70
      1          0               0         50       1994      0.791         80
      1          0               0         49       2266      1.095         90
      1          0               0         49       2605      1.704        100
      1          0               0         47        279      0.048         10
      1          0               0         47        478      0.081         20
      1          0               0         47        654      0.121         30
      1          0               0         47        873      0.181         40
      1          0               0         47       1138      0.263         50
      1          0               0         47       1378      0.335         60
      1          0               0         47       1629      0.547         70
      1          0               0         47       1840      0.724         80
      1          0               0         47       2117      1.127         90
      1          0               0         47       2457      1.881        100
      1          0               0         53        297      0.046         10
      1          0               0         53        505      0.090         20
      1          0               0         53        750      0.136         30
      1          0               0         53        955      0.188         40
      1          0               0         53       1207      0.267         50
      1          0               0         53       1495      0.347         60
      1          0               0         54       1673      0.467         70
      1          0               0         55       1965      0.626         80
      1          0               0         55       2268      1.026         90
      1          0               0         55       2544      1.456        100
      1          0               0         31        164      0.030         10
      1          0               0         39        324      0.062         20
      1          0               0         41        576      0.106         30
      1          0               0         40        828      0.145         40
      1          0               0         41       1044      0.204         50
      1          0               0         41       1263      0.285         60
      1          0               0         41       1489      0.436         70
      1          0               0         42       1768      0.640         80
      1          0               0         54       2024      1.040         90
      1          0               0         55       2285      1.581        100
      1          0               0         46        238      0.043         10
      1          0               0         46        464      0.077         20
      1          0               0         46        711      0.125         30
      1          0               0         46        920      0.249         40
      1          0               0         46       1148      0.255         50
      1          0               0         46       1391      0.384         60
      1          0               0         46       1720      0.617         70
      1          0               0         45       1997      0.775         80
      1          0               0         45       2259      1.088         90
      1          0               0         46       2470      1.435        100
      1          0               0         38        241      0.034         10
      1          0               0         41        464      0.079         20
      1          0               0         51        768      0.138         30
      1          0               0         51        988      0.190         40
      1          0               0         51       1244      0.272         50
      1          0               0         50       1529      0.408         60
      1          0               0         50       1766      0.565         70
      1          0               0         51       2093      0.830         80
      1          0               0         49       2391      1.100         90
      1          0               0         50       2641      1.843        100
