number               collision            collision_obst       flowtime             makespan             run_time             success              sum_of_dists         max_dist            
10                   0                    0                    729                  104                  0.002                100                  726.0                104.0               
10                   0                    0                    319                  65                   0.0                  100                  319.0                65.0                
10                   0                    0                    221                  69                   0.0                  100                  221.0                69.0                
10                   0                    0                    247                  49                   0.0                  100                  247.0                49.0                
10                   0                    0                    704                  127                  0.002                100                  704.0                127.0               
10                   0                    0                    107                  18                   0.0                  100                  107.0                18.0                
10                   0                    0                    214                  44                   0.0                  100                  214.0                44.0                
10                   0                    0                    256                  48                   0.0                  100                  256.0                48.0                
10                   0                    0                    409                  62                   0.0                  100                  384.0                62.0                
10                   0                    0                    266                  52                   0.0                  100                  266.0                52.0                
10                   0                    0                    331                  59                   0.0                  100                  331.0                59.0                
10                   0                    0                    301                  46                   0.0                  100                  296.0                46.0                
10                   0                    0                    369                  51                   0.0                  100                  369.0                51.0                
10                   0                    0                    440                  69                   0.001                100                  432.0                69.0                
10                   0                    0                    295                  48                   0.0                  100                  295.0                48.0                
10                   0                    0                    532                  85                   0.001                100                  532.0                85.0                
10                   0                    0                    274                  85                   0.0                  100                  274.0                85.0                
10                   0                    0                    440                  71                   0.001                100                  440.0                71.0                
10                   0                    0                    616                  83                   0.001                100                  615.0                83.0                
10                   0                    0                    325                  71                   0.0                  100                  325.0                71.0                
10                   0                    0                    344                  60                   0.0                  100                  344.0                60.0                
10                   0                    0                    418                  70                   0.001                100                  418.0                70.0                
10                   0                    0                    228                  57                   0.0                  100                  228.0                57.0                
10                   0                    0                    262                  48                   0.0                  100                  262.0                48.0                
10                   0                    0                    171                  30                   0.0                  100                  170.0                30.0                
10                   0                    0                    322                  61                   0.0                  100                  321.0                61.0                
10                   0                    0                    477                  82                   0.001                100                  477.0                82.0                
10                   0                    0                    355                  76                   0.001                100                  343.0                76.0                
10                   0                    0                    577                  115                  0.002                100                  534.0                115.0               
10                   0                    0                    274                  54                   0.0                  100                  274.0                54.0                
10                   0                    0                    194                  39                   0.0                  100                  194.0                39.0                
10                   0                    0                    299                  69                   0.0                  100                  299.0                69.0                
10                   0                    0                    437                  75                   0.0                  100                  437.0                75.0                
10                   0                    0                    325                  61                   0.0                  100                  325.0                61.0                
10                   0                    0                    268                  45                   0.0                  100                  268.0                45.0                
10                   0                    0                    548                  96                   0.001                100                  548.0                96.0                
10                   0                    0                    256                  44                   0.0                  100                  256.0                44.0                
10                   0                    0                    299                  59                   0.0                  100                  299.0                59.0                
10                   0                    0                    220                  38                   0.0                  100                  219.0                38.0                
10                   0                    0                    596                  89                   0.001                100                  595.0                89.0                
10                   0                    0                    215                  38                   0.0                  100                  215.0                38.0                
10                   0                    0                    379                  91                   0.0                  100                  379.0                91.0                
10                   0                    0                    233                  45                   0.0                  100                  233.0                45.0                
10                   0                    0                    232                  87                   0.0                  100                  232.0                87.0                
10                   0                    0                    281                  60                   0.0                  100                  281.0                60.0                
10                   0                    0                    238                  48                   0.0                  100                  238.0                48.0                
10                   0                    0                    354                  50                   0.0                  100                  354.0                50.0                
10                   0                    0                    265                  93                   0.001                100                  265.0                93.0                
10                   0                    0                    292                  53                   0.0                  100                  292.0                53.0                
10                   0                    0                    287                  67                   0.0                  100                  287.0                67.0                
10                   0                    0                    215                  50                   0.0                  100                  215.0                50.0                
10                   0                    0                    282                  60                   0.0                  100                  282.0                60.0                
10                   0                    0                    221                  45                   0.0                  100                  221.0                45.0                
10                   0                    0                    342                  58                   0.0                  100                  342.0                58.0                
10                   0                    0                    287                  47                   0.0                  100                  287.0                47.0                
10                   0                    0                    466                  88                   0.001                100                  466.0                88.0                
10                   0                    0                    287                  42                   0.0                  100                  287.0                42.0                
10                   0                    0                    262                  57                   0.0                  100                  261.0                57.0                
10                   0                    0                    146                  20                   0.0                  100                  146.0                20.0                
10                   0                    0                    683                  107                  0.002                100                  659.0                107.0               
10                   0                    0                    298                  83                   0.0                  100                  298.0                83.0                
10                   0                    0                    232                  50                   0.0                  100                  232.0                50.0                
10                   0                    0                    384                  104                  0.001                100                  384.0                104.0               
10                   0                    0                    447                  92                   0.001                100                  447.0                92.0                
10                   0                    0                    498                  106                  0.002                100                  498.0                106.0               
10                   0                    0                    547                  104                  0.001                100                  546.0                104.0               
10                   0                    0                    614                  123                  0.001                100                  614.0                123.0               
10                   0                    0                    367                  99                   0.001                100                  367.0                99.0                
10                   0                    0                    375                  62                   0.0                  100                  358.0                62.0                
10                   0                    0                    224                  44                   0.0                  100                  224.0                44.0                
10                   0                    0                    323                  44                   0.0                  100                  323.0                44.0                
10                   0                    0                    243                  37                   0.0                  100                  243.0                37.0                
10                   0                    0                    355                  51                   0.0                  100                  354.0                51.0                
10                   0                    0                    305                  88                   0.0                  100                  305.0                88.0                
10                   0                    0                    185                  42                   0.0                  100                  184.0                42.0                
10                   0                    0                    448                  91                   0.001                100                  430.0                91.0                
10                   0                    0                    497                  84                   0.001                100                  497.0                84.0                
10                   0                    0                    170                  31                   0.0                  100                  170.0                31.0                
10                   0                    0                    512                  91                   0.001                100                  512.0                91.0                
10                   0                    0                    185                  44                   0.0                  100                  185.0                44.0                
10                   0                    0                    453                  92                   0.001                100                  453.0                92.0                
10                   0                    0                    258                  54                   0.0                  100                  258.0                54.0                
10                   0                    0                    161                  35                   0.0                  100                  161.0                35.0                
10                   0                    0                    372                  66                   0.0                  100                  371.0                65.0                
10                   0                    0                    374                  74                   0.0                  100                  374.0                74.0                
10                   0                    0                    371                  91                   0.001                100                  371.0                91.0                
10                   0                    0                    230                  38                   0.0                  100                  230.0                38.0                
10                   0                    0                    324                  64                   0.0                  100                  283.0                64.0                
10                   0                    0                    301                  40                   0.0                  100                  293.0                40.0                
10                   0                    0                    424                  88                   0.0                  100                  424.0                88.0                
10                   0                    0                    349                  68                   0.0                  100                  349.0                68.0                
10                   0                    0                    431                  86                   0.001                100                  431.0                86.0                
10                   0                    0                    230                  47                   0.0                  100                  230.0                47.0                
10                   0                    0                    403                  91                   0.001                100                  403.0                91.0                
10                   0                    0                    256                  49                   0.0                  100                  240.0                49.0                
10                   0                    0                    177                  57                   0.0                  100                  177.0                57.0                
10                   0                    0                    237                  49                   0.0                  100                  237.0                49.0                
10                   0                    0                    311                  65                   0.0                  100                  311.0                65.0                
10                   0                    0                    299                  56                   0.0                  100                  298.0                56.0                
10                   0                    0                    485                  83                   0.001                100                  485.0                83.0                
10                   0                    0                    261                  48                   0.0                  100                  261.0                48.0                
10                   0                    0                    278                  45                   0.0                  100                  278.0                45.0                
10                   0                    0                    293                  66                   0.0                  100                  293.0                66.0                
10                   0                    0                    259                  44                   0.0                  100                  259.0                44.0                
10                   0                    0                    276                  56                   0.0                  100                  276.0                56.0                
10                   0                    0                    282                  57                   0.0                  100                  282.0                57.0                
