success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     number
      1          0               0        347       8559      1.228          48.205         50
      1          0               0        348      10042      1.476          57.632         60
      1          0               0        354      12209      1.743          66.525         70
      1          0               0        354      14207      1.992          75.989         80
      1          0               0        355      16101      2.269          84.699         90
      1          0               0        386      18492      2.752          93.435        100
      1          0               0        361       1972      0.293           9.934         10
      1          0               0        360       3509      0.540          19.828         20
      1          0               0        360       4935      0.807          29.650         30
      1          0               0        360       6716      1.022          39.319         40
      1          0               0        360       8546      1.282          48.617         50
      1          0               0        360      10153      1.509          57.950         60
      1          0               0        360      12014      1.761          66.811         70
      1          0               0        359      13375      1.996          75.591         80
      1          0               0        359      14816      2.243          84.769         90
      1          0               0        360      16803      2.503          93.331        100
      1          0               0        298       1829      0.233           9.987         10
      1          0               0        325       3729      0.476          19.772         20
      1          0               0        325       5490      0.701          29.655         30
      1          0               0        325       7094      0.940          39.465         40
      1          0               0        325       8525      1.146          48.982         50
      1          0               0        325      10339      1.397          58.031         60
      1          0               0        325      12273      1.611          67.542         70
      1          0               0        325      13871      1.834          76.092         80
      1          0               0        341      16675      2.205          84.085         90
      1          0               0        341      18453      2.452          91.718        100
      1          0               0        286       1009      0.221           9.962         10
      1          0               0        352       2504      0.506          19.770         20
      1          0               0        352       4731      0.768          29.545         30
      1          0               0        352       6222      0.993          38.952         40
      1          0               0        352       8543      1.267          48.207         50
      1          0               0        392      10751      1.677          58.092         60
      1          0               0        392      12801      2.045          67.212         70
      1          0               0        392      14749      2.235          76.365         80
      1          0               0        392      16534      2.517          85.013         90
      1          0               0        395      18618      2.823          94.127        100
      1          0               0        244       1209      0.188          10.000         10
      1          0               0        314       2775      0.452          19.914         20
      1          0               0        338       5347      0.716          29.698         30
      1          0               0        363       7512      1.052          39.488         40
      1          0               0        363       9926      1.271          48.826         50
      1          0               0        363      11769      1.535          57.375         60
      1          0               0        388      13517      1.907          66.884         70
      1          0               0        389      15896      2.253          74.666         80
