number               collision            collision_obst       flowtime             makespan             run_time             success              sum_of_dists         max_dist            
10                   0                    0                    98                   18                   0.0                  100                  98.0                 18.0                
10                   0                    0                    105                  17                   0.0                  100                  101.0                17.0                
10                   0                    0                    117                  24                   0.0                  100                  116.0                23.0                
10                   0                    0                    127                  21                   0.0                  100                  127.0                21.0                
10                   0                    0                    90                   15                   0.0                  100                  90.0                 15.0                
10                   0                    0                    71                   18                   0.0                  100                  71.0                 18.0                
10                   0                    0                    83                   14                   0.0                  100                  83.0                 14.0                
10                   0                    0                    86                   18                   0.0                  100                  86.0                 18.0                
10                   0                    0                    97                   17                   0.0                  100                  97.0                 17.0                
10                   0                    0                    55                   10                   0.0                  100                  55.0                 10.0                
10                   0                    0                    114                  19                   0.0                  100                  114.0                19.0                
10                   0                    0                    110                  18                   0.0                  100                  110.0                18.0                
10                   0                    0                    182                  25                   0.0                  100                  182.0                25.0                
10                   0                    0                    91                   17                   0.0                  100                  91.0                 17.0                
10                   0                    0                    82                   18                   0.0                  100                  82.0                 18.0                
10                   0                    0                    140                  18                   0.0                  100                  140.0                18.0                
10                   0                    0                    110                  15                   0.0                  100                  109.0                15.0                
10                   0                    0                    148                  23                   0.0                  100                  148.0                23.0                
10                   0                    0                    102                  19                   0.0                  100                  102.0                19.0                
10                   0                    0                    129                  26                   0.0                  100                  129.0                26.0                
10                   0                    0                    94                   16                   0.0                  100                  94.0                 16.0                
10                   0                    0                    110                  18                   0.0                  100                  110.0                18.0                
10                   0                    0                    131                  20                   0.0                  100                  131.0                20.0                
10                   0                    0                    140                  20                   0.0                  100                  139.0                20.0                
10                   0                    0                    98                   13                   0.0                  100                  98.0                 13.0                
10                   0                    0                    122                  20                   0.0                  100                  122.0                20.0                
10                   0                    0                    99                   16                   0.0                  100                  96.0                 16.0                
10                   0                    0                    111                  18                   0.0                  100                  111.0                18.0                
10                   0                    0                    108                  24                   0.0                  100                  106.0                24.0                
10                   0                    0                    135                  21                   0.0                  100                  135.0                21.0                
10                   0                    0                    91                   16                   0.0                  100                  91.0                 16.0                
10                   0                    0                    87                   14                   0.0                  100                  87.0                 14.0                
10                   0                    0                    158                  23                   0.0                  100                  143.0                23.0                
10                   0                    0                    121                  16                   0.0                  100                  121.0                16.0                
10                   0                    0                    76                   13                   0.0                  100                  76.0                 13.0                
10                   0                    0                    108                  15                   0.0                  100                  108.0                15.0                
10                   0                    0                    90                   15                   0.0                  100                  89.0                 15.0                
