number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    731                  122                  0.002                100                  731.0                122.0               
10                   0                    0                    1011                 179                  0.002                100                  989.0                179.0               
10                   0                    0                    1244                 198                  0.003                100                  1244.0               198.0               
10                   0                    0                    789                  131                  0.002                100                  789.0                131.0               
10                   0                    0                    917                  182                  0.003                100                  917.0                182.0               
10                   0                    0                    1078                 135                  0.003                100                  1078.0               135.0               
10                   0                    0                    579                  130                  0.003                100                  579.0                130.0               
10                   0                    0                    989                  203                  0.004                100                  989.0                203.0               
10                   0                    0                    579                  111                  0.002                100                  579.0                111.0               
10                   0                    0                    826                  140                  0.002                100                  826.0                140.0               
10                   0                    0                    1166                 185                  0.003                100                  1166.0               185.0               
10                   0                    0                    680                  118                  0.002                100                  680.0                118.0               
10                   0                    0                    1457                 250                  0.003                100                  1457.0               250.0               
10                   0                    0                    831                  159                  0.002                100                  831.0                159.0               
10                   0                    0                    824                  137                  0.002                100                  824.0                137.0               
10                   0                    0                    841                  133                  0.002                100                  841.0                133.0               
10                   0                    0                    779                  157                  0.003                100                  779.0                157.0               
10                   0                    0                    847                  143                  0.002                100                  847.0                143.0               
10                   0                    0                    999                  140                  0.003                100                  999.0                140.0               
10                   0                    0                    1075                 221                  0.003                100                  1075.0               221.0               
10                   0                    0                    978                  155                  0.003                100                  978.0                155.0               
10                   0                    0                    865                  162                  0.002                100                  865.0                162.0               
10                   0                    0                    757                  132                  0.002                100                  757.0                132.0               
10                   0                    0                    1004                 198                  0.003                100                  1004.0               198.0               
10                   0                    0                    740                  125                  0.002                100                  740.0                125.0               
10                   0                    0                    1022                 199                  0.003                100                  1022.0               199.0               
10                   0                    0                    985                  149                  0.002                100                  985.0                149.0               
10                   0                    0                    882                  170                  0.003                100                  882.0                170.0               
10                   0                    0                    710                  105                  0.002                100                  710.0                105.0               
10                   0                    0                    806                  141                  0.003                100                  806.0                141.0               
10                   0                    0                    675                  120                  0.002                100                  675.0                120.0               
10                   0                    0                    1001                 169                  0.003                100                  1001.0               169.0               
10                   0                    0                    634                  113                  0.002                100                  634.0                113.0               
10                   0                    0                    945                  147                  0.002                100                  944.0                147.0               
10                   0                    0                    917                  168                  0.003                100                  917.0                168.0               
10                   0                    0                    1186                 234                  0.003                100                  1186.0               234.0               
10                   0                    0                    493                  106                  0.002                100                  493.0                106.0               
10                   0                    0                    920                  159                  0.002                100                  920.0                159.0               
10                   0                    0                    1051                 218                  0.004                100                  1051.0               218.0               
10                   0                    0                    806                  138                  0.002                100                  806.0                138.0               
10                   0                    0                    871                  188                  0.003                100                  871.0                188.0               
10                   0                    0                    966                  179                  0.003                100                  966.0                179.0               
10                   0                    0                    830                  176                  0.002                100                  830.0                176.0               
10                   0                    0                    1162                 186                  0.003                100                  1162.0               186.0               
10                   0                    0                    807                  144                  0.002                100                  716.0                144.0               
10                   0                    0                    967                  192                  0.002                100                  967.0                192.0               
10                   0                    0                    1024                 161                  0.002                100                  1024.0               161.0               
10                   0                    0                    873                  146                  0.003                100                  873.0                146.0               
10                   0                    0                    1062                 248                  0.003                100                  1062.0               248.0               
10                   0                    0                    1039                 170                  0.002                100                  1039.0               170.0               
10                   0                    0                    1292                 182                  0.003                100                  1292.0               182.0               
10                   0                    0                    1021                 153                  0.003                100                  1021.0               153.0               
10                   0                    0                    747                  188                  0.004                100                  747.0                188.0               
10                   0                    0                    800                  112                  0.002                100                  800.0                112.0               
10                   0                    0                    1222                 220                  0.005                100                  1222.0               220.0               
10                   0                    0                    857                  162                  0.003                100                  857.0                162.0               
10                   0                    0                    1070                 214                  0.003                100                  1070.0               214.0               
10                   0                    0                    1080                 190                  0.003                100                  1080.0               190.0               
10                   0                    0                    948                  158                  0.003                100                  948.0                158.0               
10                   0                    0                    993                  162                  0.003                100                  993.0                162.0               
10                   0                    0                    815                  156                  0.002                100                  815.0                156.0               
10                   0                    0                    1261                 218                  0.003                100                  1261.0               218.0               
10                   0                    0                    1167                 208                  0.003                100                  1167.0               208.0               
10                   0                    0                    1106                 163                  0.003                100                  1106.0               163.0               
10                   0                    0                    1413                 198                  0.003                100                  1412.0               198.0               
10                   0                    0                    1099                 202                  0.003                100                  1099.0               202.0               
10                   0                    0                    1107                 177                  0.003                100                  1107.0               177.0               
10                   0                    0                    710                  174                  0.003                100                  710.0                174.0               
10                   0                    0                    898                  161                  0.002                100                  898.0                161.0               
10                   0                    0                    913                  174                  0.004                100                  913.0                174.0               
10                   0                    0                    1160                 161                  0.003                100                  1160.0               161.0               
10                   0                    0                    1502                 225                  0.003                100                  1502.0               225.0               
10                   0                    0                    779                  126                  0.002                100                  779.0                126.0               
10                   0                    0                    571                  120                  0.002                100                  571.0                120.0               
10                   0                    0                    994                  149                  0.003                100                  994.0                149.0               
10                   0                    0                    799                  197                  0.003                100                  799.0                197.0               
10                   0                    0                    641                  118                  0.001                100                  641.0                118.0               
10                   0                    0                    829                  151                  0.003                100                  829.0                151.0               
10                   0                    0                    740                  169                  0.003                100                  740.0                169.0               
10                   0                    0                    646                  127                  0.002                100                  646.0                127.0               
10                   0                    0                    636                  142                  0.002                100                  636.0                142.0               
