number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    170                  31                   0.0                  100                  170.0                31.0                
10                   0                    0                    150                  41                   0.0                  100                  150.0                41.0                
10                   0                    0                    235                  49                   0.0                  100                  234.0                49.0                
10                   0                    0                    137                  33                   0.0                  100                  137.0                33.0                
10                   0                    0                    160                  45                   0.0                  100                  160.0                45.0                
10                   0                    0                    360                  56                   0.0                  100                  360.0                56.0                
10                   0                    0                    196                  48                   0.0                  100                  196.0                48.0                
10                   0                    0                    145                  32                   0.0                  100                  136.0                32.0                
10                   0                    0                    284                  50                   0.0                  100                  283.0                50.0                
10                   0                    0                    250                  69                   0.0                  100                  250.0                69.0                
10                   0                    0                    124                  25                   0.0                  100                  124.0                25.0                
10                   0                    0                    217                  49                   0.0                  100                  213.0                49.0                
10                   0                    0                    178                  37                   0.0                  100                  178.0                37.0                
10                   0                    0                    388                  58                   0.0                  100                  388.0                58.0                
10                   0                    0                    200                  38                   0.0                  100                  199.0                38.0                
10                   0                    0                    154                  28                   0.0                  100                  148.0                28.0                
10                   0                    0                    284                  71                   0.0                  100                  255.0                71.0                
10                   0                    0                    275                  48                   0.0                  100                  220.0                48.0                
10                   0                    0                    389                  75                   0.0                  100                  382.0                75.0                
10                   0                    0                    264                  40                   0.0                  100                  263.0                40.0                
10                   0                    0                    317                  70                   0.0                  100                  316.0                70.0                
10                   0                    0                    230                  35                   0.0                  100                  230.0                35.0                
10                   0                    0                    171                  28                   0.0                  100                  171.0                28.0                
10                   0                    0                    209                  38                   0.0                  100                  209.0                38.0                
10                   0                    0                    240                  48                   0.0                  100                  240.0                48.0                
10                   0                    0                    77                   18                   0.0                  100                  77.0                 18.0                
10                   0                    0                    219                  51                   0.0                  100                  217.0                51.0                
10                   0                    0                    172                  35                   0.0                  100                  172.0                35.0                
10                   0                    0                    139                  29                   0.0                  100                  139.0                29.0                
10                   0                    0                    232                  43                   0.0                  100                  232.0                43.0                
10                   0                    0                    218                  47                   0.0                  100                  217.0                47.0                
10                   0                    0                    286                  54                   0.0                  100                  286.0                54.0                
