number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    870                  191                  0.001                100                  870.0                191.0               
10                   0                    0                    827                  134                  0.001                100                  827.0                134.0               
10                   0                    0                    834                  179                  0.001                100                  834.0                179.0               
10                   0                    0                    551                  113                  0.001                100                  551.0                113.0               
10                   0                    0                    487                  111                  0.001                100                  487.0                111.0               
10                   0                    0                    726                  135                  0.001                100                  726.0                135.0               
10                   0                    0                    1403                 215                  0.001                100                  1403.0               215.0               
10                   0                    0                    821                  131                  0.001                100                  821.0                131.0               
10                   0                    0                    1290                 286                  0.002                100                  1290.0               286.0               
10                   0                    0                    762                  104                  0.001                100                  762.0                104.0               
10                   0                    0                    482                  129                  0.001                100                  482.0                129.0               
10                   0                    0                    649                  168                  0.002                100                  649.0                168.0               
10                   0                    0                    773                  154                  0.001                100                  773.0                154.0               
10                   0                    0                    924                  126                  0.001                100                  924.0                126.0               
10                   0                    0                    737                  119                  0.001                100                  737.0                119.0               
10                   0                    0                    634                  139                  0.001                100                  634.0                139.0               
10                   0                    0                    585                  126                  0.001                100                  585.0                126.0               
10                   0                    0                    945                  177                  0.001                100                  945.0                177.0               
10                   0                    0                    643                  109                  0.001                100                  643.0                109.0               
10                   0                    0                    847                  212                  0.001                100                  847.0                212.0               
10                   0                    0                    718                  197                  0.001                100                  705.0                197.0               
10                   0                    0                    538                  132                  0.001                100                  538.0                132.0               
10                   0                    0                    683                  119                  0.001                100                  683.0                119.0               
10                   0                    0                    469                  153                  0.001                100                  469.0                153.0               
10                   0                    0                    861                  180                  0.001                100                  861.0                180.0               
10                   0                    0                    852                  125                  0.001                100                  852.0                125.0               
10                   0                    0                    602                  125                  0.001                100                  602.0                125.0               
10                   0                    0                    906                  222                  0.002                100                  906.0                222.0               
10                   0                    0                    834                  121                  0.001                100                  834.0                121.0               
10                   0                    0                    538                  149                  0.001                100                  538.0                149.0               
10                   0                    0                    538                  91                   0.001                100                  538.0                91.0                
10                   0                    0                    506                  105                  0.001                100                  506.0                105.0               
10                   0                    0                    666                  115                  0.001                100                  666.0                115.0               
10                   0                    0                    642                  101                  0.001                100                  642.0                101.0               
10                   0                    0                    1231                 217                  0.001                100                  1231.0               217.0               
10                   0                    0                    1148                 198                  0.001                100                  1148.0               198.0               
10                   0                    0                    823                  163                  0.001                100                  823.0                163.0               
10                   0                    0                    928                  126                  0.001                100                  928.0                126.0               
10                   0                    0                    759                  135                  0.001                100                  759.0                135.0               
10                   0                    0                    541                  100                  0.001                100                  541.0                100.0               
10                   0                    0                    711                  189                  0.001                100                  711.0                189.0               
10                   0                    0                    569                  170                  0.001                100                  569.0                170.0               
10                   0                    0                    621                  102                  0.001                100                  621.0                102.0               
10                   0                    0                    555                  101                  0.001                100                  555.0                101.0               
10                   0                    0                    718                  114                  0.001                100                  718.0                114.0               
10                   0                    0                    671                  163                  0.001                100                  671.0                163.0               
10                   0                    0                    749                  129                  0.001                100                  749.0                129.0               
10                   0                    0                    635                  141                  0.001                100                  635.0                141.0               
10                   0                    0                    574                  111                  0.001                100                  574.0                111.0               
10                   0                    0                    884                  175                  0.001                100                  884.0                175.0               
10                   0                    0                    672                  140                  0.001                100                  672.0                140.0               
10                   0                    0                    679                  105                  0.001                100                  679.0                105.0               
10                   0                    0                    588                  171                  0.001                100                  588.0                171.0               
10                   0                    0                    680                  119                  0.001                100                  680.0                119.0               
10                   0                    0                    606                  123                  0.001                100                  606.0                123.0               
10                   0                    0                    962                  206                  0.002                100                  962.0                206.0               
10                   0                    0                    608                  138                  0.001                100                  608.0                138.0               
10                   0                    0                    537                  81                   0.001                100                  537.0                81.0                
10                   0                    0                    912                  204                  0.002                100                  912.0                204.0               
10                   0                    0                    571                  118                  0.001                100                  571.0                118.0               
10                   0                    0                    443                  79                   0.001                100                  443.0                79.0                
10                   0                    0                    1425                 196                  0.001                100                  1425.0               196.0               
10                   0                    0                    1171                 218                  0.002                100                  1171.0               218.0               
