success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     number
      1          0               0         91       1777      9.730          31.154         80
      1          0               0         69       1898     10.673          34.058         90
      1          0               0         90       2010     19.583          31.567        100
      1          0               0         90        362      0.110           9.311         10
      1          0               0         55        442      0.210          16.000         20
      1          0               0        101       1059      0.729          23.307         30
      1          0               0         87        996      1.245          27.908         40
      1          0               0         94       1245      2.189          32.415         50
      1          0               0        103       1369      3.886          32.689         60
      1          0               0         95       1627      5.437          34.432         70
      1          0               0         85       1923      7.710          33.141         80
      1          0               0         77       1572     10.709          32.779         90
      1          0               0         67       1762     18.091          32.463        100
      1          0               0         72        207      0.091           9.417         10
      1          0               0         95        746      0.377          15.484         20
      1          0               0         93        510      0.770          20.280         30
      1          0               0         48        463      0.739          23.479         40
      1          0               0         95        962      2.807          24.989         50
      1          0               0         81       1207      3.842          25.802         60
      1          0               0         90       1170      6.288          27.256         70
      1          0               0        103       1430     10.718          29.699         80
      1          0               0         81       1257     12.850          27.580         90
      1          0               0         69        844     15.104          28.638        100
      1          0               0         31        136      0.043           8.387         10
      1          0               0        141        510      0.615          14.716         20
      1          0               0        114        735      1.033          20.140         30
      1          0               0         87       1018      1.657          22.402         40
      1          0               0        109       1006      3.445          24.560         50
      1          0               0        134       1462      7.617          26.187         60
      1          0               0        108       1103      9.195          26.963         70
      1          0               0         79       1282     12.676          26.089         80
      1          0               0        104       1412     21.374          27.298         90
      1          0               0         98       1467     28.054          27.235        100
      1          0               0        112        418      0.145           9.152         10
      1          0               0         84        761      0.289          17.726         20
      1          0               0        116        696      0.969          21.897         30
      1          0               0        102       1126      1.685          26.363         40
      1          0               0         69        892      2.118          26.884         50
      1          0               0         97       1460      4.900          26.990         60
      1          0               0         92       1473      7.523          27.380         70
      1          0               0         95       2018     10.565          30.863         80
      1          0               0         74       1642     11.941          31.108         90
      1          0               0         49       1439     15.136          26.816        100
      1          0               0         70        243      0.132           7.771         10
      1          0               0         81        496      0.298          15.864         20
      1          0               0        122        825      1.006          20.598         30
      1          0               0         67        795      1.197          25.224         40
      1          0               0         80       1116      2.472          27.950         50
      1          0               0         74       1042      4.113          27.797         60
      1          0               0         93       1086      7.691          27.914         70
      1          0               0         90       1104     11.303          26.400         80
      1          0               0         76       1147     14.338          28.605         90
      1          0               0         39       1099     13.594          25.051        100
      1          0               0         97        230      0.126           8.577         10
      1          0               0         46        270      0.158          17.565         20
      1          0               0         71        641      0.638          21.944         30
      1          0               0         98        706      1.439          26.082         40
      1          0               0         61        955      1.613          27.230         50
      1          0               0         81       1111      3.240          31.716         60
      1          0               0         99       1209      5.967          32.657         70
      1          0               0         71        871      6.912          31.493         80
      1          0               0         90       1144     12.280          35.444         90
      1          0               0         98       1669     21.353          34.224        100
      1          0               0         67        296      0.096           7.493         10
      1          0               0         72        389      0.277          15.403         20
      1          0               0        107        597      0.927          20.841         30
      1          0               0         68        616      0.955          27.779         40
      1          0               0         79        980      2.049          28.532         50
      1          0               0         81       1142      3.580          30.444         60
      1          0               0        102       1308      8.172          30.039         70
      1          0               0         61       1408      8.086          30.803         80
      1          0               0         52       1110     10.041          30.327         90
      1          0               0         49       1040     13.232          30.122        100
      1          0               0         75        209      0.096           9.360         10
      1          0               0         93        672      0.359          15.957         20
      1          0               0         67        683      0.601          19.448         30
      1          0               0        110       1385      1.679          26.227         40
      1          0               0         53        951      1.563          27.887         50
      1          0               0         80       1354      3.914          30.613         60
      1          0               0         39       1124      3.837          29.026         70
      1          0               0        105       2057     20.926          29.771         80
      1          0               0         47       1546     16.584          25.617         90
      1          0               0         68       1639     33.631          25.574        100
      1          0               0         73        328      0.101           8.644         10
      1          0               0         89        602      0.340          15.101         20
      1          0               0        103        775      0.812          20.437         30
      1          0               0         57        668      0.871          24.105         40
      1          0               0         92       1194      2.455          26.848         50
      1          0               0         97       1462      4.271          27.897         60
      1          0               0         58        867      3.981          28.017         70
      1          0               0         87       1612      8.994          26.770         80
      1          0               0         58       1217      9.178          27.259         90
      1          0               0         74       1378     14.927          27.216        100
      1          0               0         81        365      0.107           8.457         10
      1          0               0        150        919      0.486          18.040         20
      1          0               0         76        696      0.901          18.145         30
      1          0               0        111       1130      2.207          23.685         40
      1          0               0         49        664      1.827          25.224         50
      1          0               0         60        883      3.518          28.967         60
      1          0               0         70        940      6.342          27.986         70
      1          0               0         43        944      6.882          27.581         80
      1          0               0         65       1152     13.137          28.200         90
      1          0               0         86       1675     46.012          23.860        100
      1          0               0         79        325      0.097           9.278         10
      1          0               0        100        431      0.317          18.000         20
      1          0               0         64        523      0.427          24.281         30
      1          0               0        123       1038      1.499          29.179         40
      1          0               0        120       1323      2.691          30.892         50
      1          0               0         89        882      3.234          31.607         60
      1          0               0         95       1256      5.759          32.158         70
      1          0               0         56       1099      5.900          30.857         80
      1          0               0         85       1602     12.181          30.965         90
      1          0               0         75       1760     19.266          26.627        100
      1          0               0         73        182      0.087           9.548         10
      1          0               0         51        316      0.195          14.510         20
      1          0               0        137        787      1.090          20.263         30
      1          0               0         97        724      1.638          23.763         40
      1          0               0         73        878      2.078          25.411         50
      1          0               0        117       1104      5.801          26.701         60
      1          0               0        100       1572      7.319          29.360         70
      1          0               0        104       1756      9.748          31.135         80
      1          0               0         91       1809     13.014          28.275         90
      1          0               0         84       1807     16.183          28.405        100
      1          0               0         91        377      0.118           9.154         10
      1          0               0         66        595      0.244          16.106         20
      1          0               0         92        690      0.638          24.141         30
      1          0               0        143        808      1.759          29.916         40
      1          0               0        115       1229      2.514          32.670         50
      1          0               0        109       1476      3.833          35.514         60
      1          0               0         73       1296      4.723          33.384         70
      1          0               0         69       1571      8.199          30.696         80
      1          0               0         63       1577     12.147          28.508         90
      1          0               0         73       1611     22.356          26.164        100
      1          0               0        103        323      0.122           9.534         10
      1          0               0        121        662      0.431          15.736         20
      1          0               0        126        875      1.142          17.063         30
      1          0               0         98       1086      1.638          21.694         40
      1          0               0         81        994      2.833          23.407         50
      1          0               0         95       1143      4.908          26.063         60
      1          0               0         97       1382      8.225          23.536         70
      1          0               0         87       1557     11.096          23.885         80
      1          0               0         73       1549     16.143          26.247         90
      1          0               0         71       1588     24.885          23.676        100
      1          0               0         83        373      0.105           8.627         10
      1          0               0         62        592      0.230          15.935         20
      1          0               0        117        939      0.869          21.735         30
      1          0               0         59        719      0.903          25.407         40
      1          0               0         92        973      2.175          29.174         50
      1          0               0         87        885      3.225          31.954         60
      1          0               0        144       1606      8.986          32.882         70
      1          0               0         75        983      6.814          31.760         80
      1          0               0         58        925      7.844          32.241         90
      1          0               0         51        856     10.032          31.294        100
      1          0               0         58        246      0.085           7.759         10
      1          0               0         55        463      0.248          14.564         20
      1          0               0         62        646      0.588          18.855         30
      1          0               0         54       1089      1.141          22.907         40
      1          0               0         54        936      1.619          27.500         50
      1          0               0         67       1472      3.421          28.537         60
      1          0               0         60       1442      4.563          29.167         70
      1          0               0         50       1454      6.173          31.060         80
      1          0               0         83       1669     14.736          30.494         90
      1          0               0         60       1867     15.615          29.683        100
      1          0               0         96        391      0.139           7.844         10
      1          0               0        100        654      0.355          16.550         20
      1          0               0         95        996      0.707          23.189         30
      1          0               0         58        714      1.034          23.672         40
      1          0               0         91        946      2.803          26.264         50
      1          0               0         85       1309      4.946          27.118         60
      1          0               0         86       1122      8.902          28.965         70
      1          0               0         71       1245      9.354          28.972         80
      1          0               0         84       1426     18.035          27.512         90
      1          0               0         52       1372     16.310          27.865        100
      1          0               0         43        234      0.065           7.140         10
      1          0               0         71        410      0.347          13.873         20
      1          0               0         67        567      0.538          21.776         30
      1          0               0         56        482      0.980          23.161         40
      1          0               0         96        859      2.379          27.188         50
      1          0               0        105       1610      4.761          28.200         60
      1          0               0         97       1660      6.994          27.660         70
      1          0               0        100       2017     12.320          25.380         80
      1          0               0         72       1338     17.430          23.236         90
      1          0               0         76       1471     25.949          21.092        100
      1          0               0        123        358      0.155           9.228         10
      1          0               0         94        611      0.353          16.191         20
      1          0               0         73        794      0.622          20.082         30
      1          0               0         86       1058      1.264          25.581         40
      1          0               0         72       1069      1.851          29.931         50
      1          0               0         91       1507      3.293          34.989         60
      1          0               0         67       1343      3.904          36.940         70
      1          0               0         64       1663      5.600          37.703         80
      1          0               0         77       1983     12.754          37.208         90
      1          0               0         58       1760     13.180          36.586        100
      1          0               0         71        264      0.095           8.211         10
      1          0               0        113        877      0.463          14.460         20
      1          0               0         68        683      0.526          22.059         30
      1          0               0        126       1086      1.588          29.595         40
      1          0               0         69        835      1.725          29.000         50
      1          0               0         65        817      2.588          30.969         60
      1          0               0         87       1231      5.374          34.356         70
      1          0               0         70       1218      7.175          33.571         80
      1          0               0         63       1066      9.095          34.429         90
      1          0               0         61       1269     11.951          32.115        100
      1          0               0         85        279      0.112           8.435         10
      1          0               0         88        649      0.316          16.534         20
      1          0               0         92        916      0.754          21.272         30
      1          0               0        107       1183      1.452          28.112         40
      1          0               0        113       1554      2.583          30.814         50
      1          0               0         72        937      2.892          32.625         60
      1          0               0         51        905      3.058          34.137         70
      1          0               0        136       1278     15.256          32.404         80
      1          0               0         76       1306     12.789          29.684         90
      1          0               0         65       1071     17.298          28.308        100
      1          0               0         61        192      0.073           9.213         10
      1          0               0         72        466      0.244          16.931         20
      1          0               0         58        646      0.613          18.379         30
      1          0               0         72        785      1.262          24.792         40
      1          0               0        101       1293      2.959          27.406         50
      1          0               0         55       1225      2.962          29.345         60
      1          0               0         64       1310      5.293          28.500         70
      1          0               0         80       1813     12.549          28.400         80
      1          0               0         83       1788     19.554          25.518         90
      1          0               0         54       1570     19.493          25.352        100
      1          0               0         78        389      0.106           8.679         10
      1          0               0         84        698      0.331          15.929         20
      1          0               0         59        686      0.468          21.492         30
      1          0               0         78       1004      1.174          26.000         40
      1          0               0         92       1314      2.527          27.696         50
      1          0               0         73       1286      3.770          29.041         60
      1          0               0         98       1670      9.621          25.316         70
      1          0               0         67       1179      9.907          27.388         80
      1          0               0         65       1261     13.797          29.785         90
      1          0               0         84       1711     25.954          25.488        100
      1          0               0         98        301      0.117           9.316         10
      1          0               0        118        604      0.394          16.941         20
      1          0               0        139       1069      0.964          22.683         30
      1          0               0         82        881      1.096          27.573         40
      1          0               0         96       1026      2.027          33.177         50
      1          0               0         79        968      2.943          36.063         60
      1          0               0        112       1117      7.996          31.446         70
      1          0               0         39        910      4.204          32.308         80
      1          0               0         61       1357     11.490          27.705         90
      1          0               0         64       1387     18.645          26.125        100
      1          0               0         85        334      0.100           9.329         10
      1          0               0         70        420      0.231          17.343         20
      1          0               0         56        582      0.413          22.929         30
      1          0               0         68        691      0.967          26.118         40
      1          0               0         66        770      2.194          25.288         50
      1          0               0         70       1052      3.859          27.400         60
      1          0               0         45        956      3.779          27.356         70
      1          0               0         74       1200      7.987          29.554         80
      1          0               0         85       1471     15.430          28.459         90
      1          0               0         93       2096     23.725          22.247        100
      1          0               0         61        162      0.090           8.131         10
      1          0               0        143        527      0.538          15.322         20
      1          0               0        124        536      0.864          21.702         30
      1          0               0        106        750      1.321          27.651         40
      1          0               0         66        756      1.416          32.833         50
      1          0               0         79       1090      2.503          36.367         60
      1          0               0         50        666      2.636          35.840         70
      1          0               0         49        814      3.960          37.510         80
      1          0               0        104       1547     12.140          34.750         90
      1          0               0         84       1479     16.547          34.036        100
      1          0               0         80        323      0.097           9.050         10
      1          0               0         73        469      0.254          15.918         20
      1          0               0         78        640      0.609          19.821         30
      1          0               0         74        955      1.002          24.541         40
      1          0               0         80       1659      1.962          29.450         50
      1          0               0         84       1384      2.858          33.024         60
      1          0               0        110       1995      6.178          33.173         70
      1          0               0         69       1385      7.647          32.232         80
      1          0               0         67       1602     12.638          29.075         90
      1          0               0         58       1738     16.471          27.793        100
      1          0               0         76        232      0.092           9.355         10
      1          0               0         70        444      0.229          18.129         20
      1          0               0        106        697      0.658          25.915         30
      1          0               0        111        969      1.577          27.631         40
      1          0               0         88        918      1.935          32.136         50
      1          0               0        103       1451      3.879          35.728         60
      1          0               0         52        780      2.592          39.192         70
      1          0               0        109       1268      8.354          38.404         80
      1          0               0         79        907      8.833          39.430         90
      1          0               0         65       1363     12.071          33.431        100
      1          0               0         95        335      0.121           8.516         10
      1          0               0         66        602      0.254          14.970         20
      1          0               0        105        906      0.970          18.095         30
      1          0               0        150       1347      2.419          22.960         40
      1          0               0        133       1422      3.711          25.632         50
      1          0               0         80        897      3.806          26.262         60
      1          0               0         67       1253      4.710          29.701         70
      1          0               0        136       2425     11.419          32.434         80
      1          0               0         88       1578     11.831          31.409         90
      1          0               0         65       1230     14.475          28.292        100
